time,imc.i_0_s,imc.idq_sr[1],imc.idq_sr[2],imc.idq_rr[1],imc.idq_rr[2]
0.0,0.0,0.0,0.0,0.0,0.0
0.01,-1.021405256529604e-12,594.9011804975711,63.60906768465014,-584.653437161443,-63.764613044141875
0.02,2.6851277744087477e-11,-175.00314737772555,-14.136415668405652,175.342103510664,14.236542764717985
0.03,-2.4461275634860718e-11,473.99250830712265,-14.71816791584893,-463.58967613368645,13.507899562444173
0.04,-1.6942437395702073e-11,-262.81904248975076,8.833378226887243,263.35908426704253,-8.518600098418094
0.05,-6.808332628103266e-12,400.475524928403,-108.75150368183397,-390.3367460933769,105.92798352889542
0.06,-1.2584686522533543e-12,-298.3780075833448,60.486916734495146,299.12182729660026,-59.871735682826966
0.07,1.4280203956152857e-12,337.07412543743146,-196.5747954189512,-327.65336321756183,192.04642653229232
0.08,-3.3798150071903397e-12,-297.0352534272217,123.92211212271654,298.05693071901703,-123.01624246474111
0.09,4.42583616146729e-12,273.51659661317126,-266.27811873367364,-265.14773675764866,260.2573819563857
0.1,1.0807431154121956e-12,-270.52662387757374,184.9715594330162,271.89659755571915,-183.85620875053482
0.11,4.3770875105559394e-12,210.14889278390385,-315.7781135890026,-203.00372423922335,308.5901395620528
0.12,1.7578926039940687e-11,-228.8803217767617,236.1463175431922,230.63786476148053,-234.92610154024734
0.13,2.5194934461795312e-12,148.30013298666108,-348.4999358015986,-142.43860045886984,340.4579741699188
0.14,1.1720937276852986e-11,-179.09482789196971,275.32665726706347,181.25498195194,-274.101818890826
0.15,9.613178247304954e-13,87.66928144776095,-368.541174149202,-83.10426143863795,359.9073696344953
0.16,4.203771175239968e-12,-125.14117466888663,302.6648575056177,127.70591139342574,-301.52993958306575
0.17,-4.641387638494236e-12,27.023583705221377,-378.36867844176305,-23.761897183848543,369.36352516106314
0.18,1.859416297627911e-12,-68.65481373616419,318.9573037731166,71.62276873780463,-318.0042353549647
0.19,-5.435007499026708e-12,-34.77824911927692,-378.7413640150983,36.722638192889264,369.56500331910297
0.2,7.629339335446344e-13,-10.643322602110816,324.51138942365776,14.003261970869431,-323.8372398875758
0.21,-1.0160010924635842e-10,-97.85564894805212,-369.20745352897524,98.46800423873091,360.0577687320285
0.22,-8.880277562694601e-11,47.99276428729759,319.10754456783616,-44.26778172820009,-318.8181474735586
0.23,-3.846482942479778e-11,-161.0431356067263,-348.5834220916992,160.3248950213553,339.66845179392357
0.24,1.0646728885032351e-11,106.06706396228604,302.31478763141695,-102.02364573821487,-302.5220662453484
0.25,2.5323025503665128e-12,-222.42487378371848,-315.92811271364354,220.40590083446267,307.4656189705101
0.26,-7.50624959134619e-11,161.5948406464727,273.6597971593723,-157.30893288144264,-274.47771860475143
0.27,-2.959791673519649e-11,-279.33053998436964,-270.6010161296216,276.0809353250911,262.81531617828864
0.28,3.892484274307772e-11,212.1111915472556,233.04828302523288,-207.69192976445675,-234.58415428292358
0.29,1.7615171144981223e-11,-328.58963732388423,-212.53107905522006,324.22812199277865,205.64628496381323
0.3,5.956390848888018e-12,254.78782629087019,181.022524570843,-250.37885927679542,-183.36496189759913
0.31,-6.7015902172815854e-12,-366.90130003774726,-142.88195967429243,361.5979770803062,137.10449193630583
0.32,-8.066783804904665e-12,286.4061754100358,118.57384986122787,-282.1884706100168,-121.78781529323017
0.33,3.22323917375506e-12,-390.9394515071091,-63.45222335261859,384.91539190390347,58.95977206660772
0.34,2.875864633294138e-13,303.76525380275046,47.828455065880505,-299.95426562373916,-51.93964686260956
0.35000000000000003,5.635686528855064e-12,-397.32435165014016,23.08826432217238,390.8518902318479,-26.15912062202704
0.36,2.911791162565327e-14,304.1335995165698,-27.926331767338112,-300.967642388276,22.94779825990169
0.37,-1.0410303703694908e-11,-383.4149712271237,112.62350854920355,376.80789657766485,-114.19650860858962
0.38,-1.5918199236311868e-11,285.24507896977883,-104.56330640353198,-282.9754162546769,98.81256905066803
0.39,-5.0808359997009796e-12,-347.20073065107385,200.044841240107,340.80437205537766,-200.11993158210072
0.4,-1.2498249206373027e-12,245.61124286339935,-176.9192491020247,-244.4881260998125,170.5666637157692
0.41000000000000003,-1.1373093303242402e-11,-288.0440972070278,279.44262927292016,282.2144400286148,-278.10729530654237
0.42,-1.887703843455077e-11,185.25688879935203,-238.76033994116688,-185.50573372225918,232.0626513471633
0.43,9.8739509311221e-12,-206.83955235568294,343.90329614921404,201.92046419432916,-341.345109520661
0.44,-1.3199076339705914e-11,106.16992124332346,-283.25613584067094,-107.96100299826605,276.5591933468744
0.45,1.6318173034995585e-12,-106.70363738414663,386.2075662646267,102.9955476192223,-382.7176208759183
0.46,-1.8447428667126453e-11,12.663212463892409,-303.4304067272282,-16.077312391804874,297.1645112367809
0.47000000000000003,7.1035252605174555e-12,6.529470893235626,399.07796563805874,-8.808618725078698,-395.049458298877
0.48,-6.587836833624444e-11,-87.939158770503,-293.1638984558598,82.9511324499968,287.8206398186089
0.49,3.856734794665165e-11,124.202529730789,376.6940749403517,-124.95511128463716,-372.60176493819665
0.5,-6.880731403258412e-11,-185.35218083209398,-248.02646649799146,179.0089609007968,244.12529528908507
0.51,5.3759448308994444e-11,234.3103025160715,315.62906540202755,-233.60313149426915,-311.9919760217193
0.52,-7.924977296502603e-11,-266.4682022925819,-167.20717398023007,259.1888457518993,165.2337519176861
0.53,5.61054896662361e-11,322.3196420111814,216.5688595239087,-320.41606892524,-213.89231562802823
0.54,-6.787182150989746e-11,-316.2338607097401,-55.08775047134632,308.65190139941956,55.41059529539824
0.55,5.370960828937577e-11,372.33746343378084,86.24167378197308,-369.71002776010874,-84.93337205758627
0.56,-2.2668457988051395e-11,-319.73738548538773,76.83122407063385,312.67949227017147,-74.067231095289
0.5700000000000001,1.1649341890034147e-12,369.63731859834445,-60.96712416675398,-366.9434659377493,60.699529462988636
0.58,-1.3844286699847943e-11,-265.76341949717846,208.96146581733942,260.1728308465385,-203.9481115660107
0.59,8.829573807866187e-12,304.64420671274075,-202.162387580142,-302.64653563321167,200.42066474730504
0.6,-2.3263958196969006e-11,-151.59044800524273,313.66461459098525,148.37828481600047,-307.0307627464656
0.61,-9.304766856164897e-13,178.33126719365015,-307.2391423189943,-177.74546267544181,304.51650826811397
0.62,-2.178787268889816e-12,11.078072215871613,359.09947138328414,-11.261365642736354,-351.9423622854554
0.63,1.320345776938995e-11,8.373959712192107,-343.7774412195844,-9.639919229164507,340.9640850967598
0.64,-9.048754635369258e-12,190.85812890403875,317.1064420754847,-187.91330558424755,-310.8931380776571
0.65,1.0618573359709617e-11,-166.9781210025051,-287.13134164041685,163.9592388735082,285.37472699255017
0.66,-2.789114325108644e-12,336.39764678944925,176.77360857373304,-331.045295433686,-173.0385550416379
0.67,1.3283245979475086e-11,-291.0728095681967,-135.70942170316286,287.143615089948,136.06962500712754
0.68,-8.897257785985958e-12,385.8824222612942,-39.2684029321342,-379.7569174681581,39.45111771535345
0.6900000000000001,1.0585763391460691e-11,-303.95109511596166,72.49005245346085,300.66301782098367,-69.58393417849926
0.7000000000000001,-9.864843476025944e-12,291.60861545587494,-262.79511707856636,-286.9628084603613,259.47214185630384
0.71,1.0219565622409652e-11,-173.95264787682044,254.04063298845222,173.0816923267654,-249.34788610491842
0.72,-1.0020501200006847e-11,58.72886360576363,-388.61718990473594,-57.57904281633134,383.4180394633321
0.73,1.0224015222349826e-11,61.467812874454204,302.6304772488814,-58.92293813021276,-298.25487917831356
