time,rev1.phi,rev1.w,rev2.phi,rev2.w,rev3.phi
0.0,0.0,0.0,0.027401669256311,0.0,0.0
0.01,-0.0192571449042288,-3.8513383506706127,0.027111864971702315,-0.11469740041553414,2.253887318434568e-07
0.02,-0.07701421648898424,-7.698360425657469,0.022963056953300354,-0.8542000091437347,1.889006371469943e-07
0.03,-0.17314211596631315,-11.519656042912985,0.008072481637415144,-2.0931088935933158,6.855876702438857e-08
0.04,-0.30714494055165187,-15.260648892432561,-0.012868289882090198,-1.5040854623117785,-1.0729741183013113e-07
0.05,-0.4777533796934706,-18.819301630666683,-0.010359376733225296,2.1405290739511447,-8.626826143130204e-08
0.06,-0.6824123847545691,-22.040783758816385,0.01335016302347129,1.0610676982262328,1.1150981847418573e-07
0.07,-0.9167805108154858,-24.725185247332707,-0.0026320303776758177,-3.05425374310917,-2.1877064025589294e-08
0.08,-1.1744025509061555,-26.65630201837963,-0.007119438863400089,2.7494365425438563,-6.52979259921986e-08
0.09,-1.4467639681399345,-27.647284420861062,0.012061733452473794,-1.2095487595059415,1.0063122590759753e-07
0.1,-1.7238451286992875,-27.591416203568574,-0.012674615366757696,-0.7097675460534919,-1.0587723800131394e-07
0.11,-1.99510995384164,-26.49490118711403,0.0087143858023614,2.4582539845586995,7.27866020030204e-08
0.12,-2.25065640703247,-24.474896998674375,0.0008780024761945828,-3.09629917230824,7.332635498977683e-09
0.13,-2.4821692060275167,-21.72386453302156,-0.012775071178803402,1.3235372067229136,-1.0671264282156764e-07
0.14,-2.6834205129875266,-18.45819647812691,0.01126549864141323,1.996759575036491,9.409288218741488e-08
0.15,-2.8502768123760855,-14.87400536015098,0.012562440381564732,-1.5477661052150071,1.0492743343892396e-07
0.16,-2.980342938389134,-11.12067874731734,-0.00823903146459706,-2.0638245290076673,-6.876514832001483e-08
0.17,-3.072453714233579,-7.294785438575246,-0.02325686850305694,-0.9184656847725262,-1.9428906839192803e-07
0.18,-3.1261683753364173,-3.4467450512594398,-0.028493012329085316,-0.2592859842203906,-1.892151041603139e-07
0.19,-3.1413791572980196,0.40464984253235414,-0.030410205076495896,-0.17158970775556032,-3.250394176838091e-06
0.2,-3.11806456900766,4.255900027359555,-0.03164206433569752,0.0010540768673078492,-4.864547779168589e-07
0.21,-3.05626614331477,8.10168438883384,-0.027464330168796038,1.0145823236518978,-2.566956813512689e-07
0.22,-2.956125819512165,11.917816931775949,-0.009111704509677257,2.5963240739990368,9.173520300431927e-08
0.23,-2.8181995698538853,15.645365948372374,0.016318581801171947,1.7106855679890571,3.7663156998397004e-07
0.24,-2.643866334456975,19.1767426609342,0.011107882647051974,-2.816833271848522,-1.159525543412482e-07
